Sat Dec  4 09:19:59 2021 Fold 0, Epoch 1, lr: 0.0000300, train loss: 0.54363, valid loss: 0.25665, acc: 93.9672, auc: 0.804819, auc_20: 0.804819.
Sat Dec  4 09:26:22 2021 Fold 0, Epoch 2, lr: 0.0003000, train loss: 0.28543, valid loss: 0.23153, acc: 94.5338, auc: 0.839811, auc_20: 0.839811.
Sat Dec  4 09:32:40 2021 Fold 0, Epoch 3, lr: 0.0002886, train loss: 0.24418, valid loss: 0.22251, acc: 94.4878, auc: 0.858728, auc_20: 0.858728.
Sat Dec  4 09:38:43 2021 Fold 0, Epoch 4, lr: 0.0002561, train loss: 0.22823, valid loss: 0.22643, acc: 93.8294, auc: 0.858294, auc_20: 0.858294.
Sat Dec  4 09:45:04 2021 Fold 0, Epoch 5, lr: 0.0002074, train loss: 0.21381, valid loss: 0.22089, acc: 94.5491, auc: 0.844132, auc_20: 0.844132.
Sat Dec  4 09:51:25 2021 Fold 0, Epoch 6, lr: 0.0001500, train loss: 0.20029, valid loss: 0.26878, acc: 93.0792, auc: 0.851507, auc_20: 0.851507.
Sat Dec  4 09:57:35 2021 Fold 0, Epoch 7, lr: 0.0000926, train loss: 0.18673, valid loss: 0.21648, acc: 94.3960, auc: 0.881282, auc_20: 0.881282.
Sat Dec  4 10:04:02 2021 Fold 0, Epoch 8, lr: 0.0000439, train loss: 0.17704, valid loss: 0.21183, acc: 94.5338, auc: 0.895839, auc_20: 0.895839.
Sat Dec  4 10:10:10 2021 Fold 0, Epoch 9, lr: 0.0000114, train loss: 0.16972, valid loss: 0.21318, acc: 94.5797, auc: 0.893980, auc_20: 0.893980.
Sat Dec  4 10:16:17 2021 Fold 1, Epoch 1, lr: 0.0000300, train loss: 0.55398, valid loss: 0.24154, acc: 94.6677, auc: 0.811050, auc_20: 0.811050.
Sat Dec  4 10:22:42 2021 Fold 1, Epoch 2, lr: 0.0003000, train loss: 0.29296, valid loss: 0.20518, acc: 94.6371, auc: 0.829206, auc_20: 0.829206.
Sat Dec  4 10:28:54 2021 Fold 1, Epoch 3, lr: 0.0002886, train loss: 0.25287, valid loss: 0.21509, acc: 94.6218, auc: 0.818763, auc_20: 0.818763.
Sat Dec  4 10:35:15 2021 Fold 1, Epoch 4, lr: 0.0002561, train loss: 0.23332, valid loss: 0.18696, acc: 94.9427, auc: 0.836625, auc_20: 0.836625.
Sat Dec  4 10:41:43 2021 Fold 1, Epoch 5, lr: 0.0002074, train loss: 0.21796, valid loss: 0.17848, acc: 95.1108, auc: 0.863686, auc_20: 0.863686.
Sat Dec  4 10:48:10 2021 Fold 1, Epoch 6, lr: 0.0001500, train loss: 0.20720, valid loss: 0.17283, acc: 95.0802, auc: 0.876441, auc_20: 0.876441.
Sat Dec  4 10:54:39 2021 Fold 1, Epoch 7, lr: 0.0000926, train loss: 0.19512, valid loss: 0.17058, acc: 95.2330, auc: 0.883997, auc_20: 0.883997.
