Sat Dec  4 08:14:28 2021 Fold 0, Epoch 1, lr: 0.0000300, train loss: 0.35485, valid loss: 0.24833, acc: 93.7672, auc: 0.786123, auc_20: 0.786123.
Sat Dec  4 08:31:04 2021 Fold 0, Epoch 1, lr: 0.0000300, train loss: 0.35485, valid loss: 0.24833, acc: 93.7672, auc: 0.786123, auc_20: 0.786123.
Sat Dec  4 08:46:34 2021 Fold 0, Epoch 2, lr: 0.0003000, train loss: 0.27548, valid loss: 0.23626, acc: 94.5176, auc: 0.819603, auc_20: 0.819603.
Sat Dec  4 09:02:26 2021 Fold 0, Epoch 3, lr: 0.0002886, train loss: 0.24190, valid loss: 0.21765, acc: 94.5942, auc: 0.865620, auc_20: 0.865620.
Sat Dec  4 09:18:19 2021 Fold 0, Epoch 4, lr: 0.0002561, train loss: 0.22971, valid loss: 0.22250, acc: 94.3645, auc: 0.826798, auc_20: 0.826798.
Sat Dec  4 09:34:11 2021 Fold 0, Epoch 5, lr: 0.0002074, train loss: 0.21535, valid loss: 0.20955, acc: 94.7320, auc: 0.844691, auc_20: 0.844691.
Sat Dec  4 09:50:01 2021 Fold 0, Epoch 6, lr: 0.0001500, train loss: 0.20421, valid loss: 0.20658, acc: 94.6861, auc: 0.878536, auc_20: 0.878536.
Sat Dec  4 10:05:55 2021 Fold 0, Epoch 7, lr: 0.0000926, train loss: 0.19389, valid loss: 0.19383, acc: 94.9311, auc: 0.883289, auc_20: 0.883289.
Sat Dec  4 10:21:48 2021 Fold 0, Epoch 8, lr: 0.0000439, train loss: 0.18110, valid loss: 0.23368, acc: 93.5375, auc: 0.896591, auc_20: 0.896591.
Sat Dec  4 10:37:41 2021 Fold 0, Epoch 9, lr: 0.0000114, train loss: 0.17218, valid loss: 0.19893, acc: 94.3338, auc: 0.902519, auc_20: 0.902519.
Sat Dec  4 10:53:37 2021 Fold 1, Epoch 1, lr: 0.0000300, train loss: 0.36213, valid loss: 0.24455, acc: 94.5760, auc: 0.836844, auc_20: 0.836844.
Sat Dec  4 11:09:30 2021 Fold 1, Epoch 2, lr: 0.0003000, train loss: 0.28042, valid loss: 0.20017, acc: 94.9121, auc: 0.856720, auc_20: 0.856720.
Sat Dec  4 11:25:25 2021 Fold 1, Epoch 3, lr: 0.0002886, train loss: 0.24554, valid loss: 0.19240, acc: 95.0191, auc: 0.843182, auc_20: 0.843182.
Sat Dec  4 11:41:15 2021 Fold 1, Epoch 4, lr: 0.0002561, train loss: 0.23235, valid loss: 0.26552, acc: 93.9037, auc: 0.742165, auc_20: 0.742165.
Sat Dec  4 11:57:06 2021 Fold 1, Epoch 5, lr: 0.0002074, train loss: 0.22036, valid loss: 0.18539, acc: 94.6982, auc: 0.863131, auc_20: 0.863131.
Sat Dec  4 12:13:00 2021 Fold 1, Epoch 6, lr: 0.0001500, train loss: 0.20846, valid loss: 0.17265, acc: 95.0038, auc: 0.864328, auc_20: 0.864328.
Sat Dec  4 12:28:51 2021 Fold 1, Epoch 7, lr: 0.0000926, train loss: 0.19576, valid loss: 0.17205, acc: 95.1872, auc: 0.868989, auc_20: 0.868989.
Sat Dec  4 12:44:41 2021 Fold 1, Epoch 8, lr: 0.0000439, train loss: 0.18512, valid loss: 0.16633, acc: 95.4011, auc: 0.882305, auc_20: 0.882305.
Sat Dec  4 13:00:33 2021 Fold 1, Epoch 9, lr: 0.0000114, train loss: 0.18003, valid loss: 0.16428, acc: 95.0344, auc: 0.887381, auc_20: 0.887381.
Sat Dec  4 13:16:27 2021 Fold 2, Epoch 1, lr: 0.0000300, train loss: 0.35355, valid loss: 0.23248, acc: 93.6995, auc: 0.840284, auc_20: 0.840284.
Sat Dec  4 13:32:18 2021 Fold 2, Epoch 2, lr: 0.0003000, train loss: 0.27854, valid loss: 0.25300, acc: 93.4249, auc: 0.742606, auc_20: 0.742606.
Sat Dec  4 13:48:08 2021 Fold 2, Epoch 3, lr: 0.0002886, train loss: 0.24494, valid loss: 0.22242, acc: 94.0961, auc: 0.834857, auc_20: 0.834857.
Sat Dec  4 14:03:57 2021 Fold 2, Epoch 4, lr: 0.0002561, train loss: 0.22448, valid loss: 0.21316, acc: 94.3707, auc: 0.865837, auc_20: 0.865837.
Sat Dec  4 14:19:49 2021 Fold 2, Epoch 5, lr: 0.0002074, train loss: 0.21986, valid loss: 0.20845, acc: 94.2487, auc: 0.866065, auc_20: 0.866065.
Sat Dec  4 14:35:40 2021 Fold 2, Epoch 6, lr: 0.0001500, train loss: 0.20363, valid loss: 0.20245, acc: 94.4470, auc: 0.888192, auc_20: 0.888192.
Sat Dec  4 14:51:31 2021 Fold 2, Epoch 7, lr: 0.0000926, train loss: 0.18938, valid loss: 0.19926, acc: 94.4775, auc: 0.888305, auc_20: 0.888305.
Sat Dec  4 15:07:25 2021 Fold 2, Epoch 8, lr: 0.0000439, train loss: 0.18033, valid loss: 0.20063, acc: 94.3249, auc: 0.895334, auc_20: 0.895334.
Sat Dec  4 15:23:16 2021 Fold 2, Epoch 9, lr: 0.0000114, train loss: 0.17264, valid loss: 0.19751, acc: 94.4012, auc: 0.895531, auc_20: 0.895531.
Sat Dec  4 15:39:11 2021 Fold 3, Epoch 1, lr: 0.0000300, train loss: 0.36195, valid loss: 0.24430, acc: 93.3435, auc: 0.866073, auc_20: 0.866073.
Sat Dec  4 15:55:03 2021 Fold 3, Epoch 2, lr: 0.0003000, train loss: 0.28075, valid loss: 0.20695, acc: 94.6595, auc: 0.860593, auc_20: 0.860593.
Sat Dec  4 16:10:56 2021 Fold 3, Epoch 3, lr: 0.0002886, train loss: 0.24585, valid loss: 0.21607, acc: 93.9709, auc: 0.834334, auc_20: 0.834334.
Sat Dec  4 16:26:47 2021 Fold 3, Epoch 4, lr: 0.0002561, train loss: 0.23010, valid loss: 0.20519, acc: 94.0627, auc: 0.883683, auc_20: 0.883683.
Sat Dec  4 16:42:40 2021 Fold 3, Epoch 5, lr: 0.0002074, train loss: 0.21881, valid loss: 0.20051, acc: 94.6901, auc: 0.843550, auc_20: 0.843550.
Sat Dec  4 16:58:32 2021 Fold 3, Epoch 6, lr: 0.0001500, train loss: 0.20901, valid loss: 0.18909, acc: 94.7972, auc: 0.895874, auc_20: 0.895874.
Sat Dec  4 17:14:24 2021 Fold 3, Epoch 7, lr: 0.0000926, train loss: 0.19691, valid loss: 0.17936, acc: 94.8738, auc: 0.901747, auc_20: 0.901747.
